id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,Interaction_type,Pathway_classification,Pathway_classification_specific,Pathway_classification_alternative,Reactome_classification
,12oxoLeukotrieneB4_byPTGR1,Q15722,,LT4R1_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,R-HSA-416435,R-HSA-391941,,,,ligand-receptor,Leukotriene,,,
,12oxoLeukotrieneB4_byPTGR1,Q9NPC1,,LT4R2_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,R-HSA-416435,R-HSA-391941,,,,ligand-receptor,Leukotriene,,,
,22Hydroxycholesterol_byCYP11A1,Q96RI1,,NR1H4_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,ligand-receptor,Hydroxycholesterol,,,
,22Hydroxycholesterol_byCYP3A4,Q96RI1,,NR1H4_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,ligand-receptor,Hydroxycholesterol,,,
,2arachidonoylglycerol_byDAGLA,P21554,,CNR1_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-419426,,,,ligand-receptor,Arachidonoylglycerol,,,Signaling by GPCR
,2arachidonoylglycerol_byDAGLA,P34972,,CNR2_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-419426,,,,ligand-receptor,Arachidonoylglycerol,,,Signaling by GPCR
,2arachidonoylglycerol_byDAGLA,Q9Y2T6,,GPR55_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-419426,,,,ligand-receptor,Arachidonoylglycerol,,,Signaling by GPCR
,2arachidonoylglycerol_byDAGLB,P21554,,CNR1_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-419426,,,,ligand-receptor,Arachidonoylglycerol,,,Signaling by GPCR
,2arachidonoylglycerol_byDAGLB,P34972,,CNR2_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-419426,,,,ligand-receptor,Arachidonoylglycerol,,,Signaling by GPCR
,2arachidonoylglycerol_byDAGLB,Q9Y2T6,,GPR55_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-419426,,,,ligand-receptor,Arachidonoylglycerol,,,Signaling by GPCR
,5alphaDihydroprogesterone_byDHRS9,P06401,,PRGR_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,ligand-receptor,Dihydroprogesterone,,,
,5SHpETE_byALOX5,Q8TDS5,,OXER1_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,R-HSA-391905,,,,ligand-receptor,Arachidonate 5-lipoxygenase,,,
,P05067,P25090,A4_HUMAN,FPR2_HUMAN,curated,reactome,True,LGarciaAlonso,R-HSA-416459,R-HSA-391913,,,,ligand-receptor,Amyloid-beta precursor protein,,,Signaling by GPCR
,P05067,Q92673,A4_HUMAN,SORL_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Amyloid-beta precursor protein,,Sortilin,
,P05067,O75509,A4_HUMAN,TNR21_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Amyloid-beta precursor protein,,,
,P05067,TREM2_receptor,A4_HUMAN,,curated,uniprot;PMID:27477013,True,LGarciaAlonso,,,,,,ligand-receptor,Amyloid-beta precursor protein,,,
,P05067,P04233,A4_HUMAN,HG2A_HUMAN,curated,PMID:19849849,True,RVentoTormo,,,,,,ligand-receptor,Amyloid-beta precursor protein,,,
,P30542,P49961,AA1R_HUMAN,ENTP1_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,receptor-hydrolase,Adenosine receptor,,,
,P29274,P49961,AA2AR_HUMAN,ENTP1_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,receptor-hydrolase,Adenosine receptor,,,
,P29275,P49961,AA2BR_HUMAN,ENTP1_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,receptor-hydrolase,Adenosine receptor,,,
,P0DMS8,P49961,AA3R_HUMAN,ENTP1_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,receptor-hydrolase,Adenosine receptor,,,
,Acetylcholine_byCHAT,AcetylcholineReceptor_a2b3,,,curated,reactome,False,LGarciaAlonso,,R-HSA-629599,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,AcetylcholineReceptor_a3b2a5,,,curated,reactome,False,LGarciaAlonso,,R-HSA-629599,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,AcetylcholineReceptor_a3b4a5,,,curated,reactome,False,LGarciaAlonso,,R-HSA-629599,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,AcetylcholineReceptor_a4b2,,,curated,reactome,False,LGarciaAlonso,,R-HSA-629599,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,AcetylcholineReceptor_a6a4b3,,,curated,reactome,False,LGarciaAlonso,,R-HSA-629599,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,AcetylcholineReceptor_a6b3b4,,,curated,reactome,False,LGarciaAlonso,,R-HSA-629599,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
