uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_reason,tags_description,pfam,Version_added,biosynthetic_pathway,biosynthetic_pathway_desc,Annotation_review_priority
P03372,ESR1_HUMAN,False,True,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
Q92753,RORB_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
O95477,ABCA1_HUMAN,True,False,False,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
Q13133,NR1H3_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
P04150,GCR_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
Q7Z5A7,TAFA5_HUMAN,False,False,True,,True,False,,False,False,,,,,,v4.0.0,False,,Normal
Q9UNN8,PROCR_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
Q96LR4,TAFA4_HUMAN,False,False,True,,True,False,,False,False,,,,,,v4.0.0,False,,Normal
O60883,G37L1_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
Q96RI1,NR1H4_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
P30533,AMRP_HUMAN,False,False,False,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O75787,RENR_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
P10275,ANDR_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
Q96CM4,NXNL1_HUMAN,False,False,False,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P55055,NR1H2_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
P35398,RORA_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
P10827,THA_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
P51449,RORG_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
Q6UWK7,GP15L_HUMAN,False,False,True,,True,False,,False,False,,,,,,v4.0.0,False,,Normal
P35442,TSP2_HUMAN,False,False,False,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P02794,FRIH_HUMAN,False,False,False,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P08235,MCR_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
P37231,PPARG_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
P06401,PRGR_HUMAN,False,False,False,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P10828,THB_HUMAN,False,False,False,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P02792,FRIL_HUMAN,False,False,False,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
Q03181,PPARD_HUMAN,False,False,False,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O75469,NR1I2_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
Q92731,ESR2_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
Q7Z5A9,TAFA1_HUMAN,False,False,True,,True,False,,False,False,,,,,,v4.0.0,False,,Normal
P11473,VDR_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
Q07869,PPARA_HUMAN,False,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
A5X5Y0,5HT3E_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
A6NMZ7,CO6A6_HUMAN,False,False,True,,False,False,,False,False,,,,Collagen,PF01391;PF00092;,v4.0.0,False,,Normal
A8TX70,CO6A5_HUMAN,False,False,True,,False,False,,False,False,,,,Collagen,PF01391;PF00092;,v4.0.0,False,,Normal
